AOI,Dice,IOU,threshold
L15-0387E-1276N_1549_3087_13,0.059120928377817974,0.0304651117425597,0.0
L15-0566E-1185N_2265_3451_13,0.0084788745800213,0.00427246501204015,0.0
L15-0632E-0892N_2528_4620_13,0.04823349864264706,0.02471291612532469,0.0
L15-1015E-1062N_4061_3941_13,0.055270865570944565,0.028426780259982465,0.0
L15-1200E-0847N_4802_4803_13,0.18103395611481043,0.09952999901675434,0.0
L15-1276E-1107N_5105_3761_13,0.04906686199164478,0.025152802613070114,0.0
L15-1438E-1134N_5753_3655_13,0.368338906286585,0.22688985950570764,0.0
L15-1615E-1206N_6460_3366_13,0.10691715647501582,0.056494730027381486,0.0
L15-1690E-1211N_6763_3346_13,0.1234835813380591,0.06591528979805926,0.0
L15-1848E-0793N_7394_5018_13,0.01587267065520446,0.008082588274563096,0.0
L15-0387E-1276N_1549_3087_13,0.05919875709173805,0.030506417395779216,0.1
L15-0566E-1185N_2265_3451_13,0.008495314007446533,0.004280819299086703,0.1
L15-0632E-0892N_2528_4620_13,0.04833065362668112,0.024763932928828166,0.1
L15-1015E-1062N_4061_3941_13,0.05583014272428244,0.028722600770701226,0.1
L15-1200E-0847N_4802_4803_13,0.18128731861782185,0.09968318938163212,0.1
L15-1276E-1107N_5105_3761_13,0.04920817838359042,0.02522702582636517,0.1
L15-1438E-1134N_5753_3655_13,0.36872545531446527,0.22718149957719558,0.1
L15-1615E-1206N_6460_3366_13,0.10967633268240315,0.05802719678836648,0.1
L15-1690E-1211N_6763_3346_13,0.12470087581696913,0.06656172683912745,0.1
L15-1848E-0793N_7394_5018_13,0.015974237723903974,0.008134094268385406,0.1
L15-0387E-1276N_1549_3087_13,0.06135756075719246,0.031655681207160384,0.2
L15-0566E-1185N_2265_3451_13,0.008977319335234863,0.004526322105488276,0.2
L15-0632E-0892N_2528_4620_13,0.05005883629937312,0.02567248209413639,0.2
L15-1015E-1062N_4061_3941_13,0.05987407032651815,0.03086780890734691,0.2
L15-1200E-0847N_4802_4803_13,0.1854108360115618,0.10218384136105317,0.2
L15-1276E-1107N_5105_3761_13,0.052453933533505984,0.026936711486662993,0.2
L15-1438E-1134N_5753_3655_13,0.3743679010404051,0.2310455929854801,0.2
L15-1615E-1206N_6460_3366_13,0.11304163782732682,0.05991635089602127,0.2
L15-1690E-1211N_6763_3346_13,0.1287357651885626,0.06884325427642225,0.2
L15-1848E-0793N_7394_5018_13,0.017434648859139496,0.008885719127777181,0.2
L15-0387E-1276N_1549_3087_13,0.07298657107281759,0.03790081078299694,0.3
L15-0566E-1185N_2265_3451_13,0.017714113257273727,0.009195138293152381,0.3
L15-0632E-0892N_2528_4620_13,0.0615283959530232,0.03175028101206253,0.3
L15-1015E-1062N_4061_3941_13,0.0765614130525312,0.03984589644492378,0.3
L15-1200E-0847N_4802_4803_13,0.21072045209777676,0.11779878536182185,0.3
L15-1276E-1107N_5105_3761_13,0.07779856267897717,0.04052521710531815,0.3
L15-1438E-1134N_5753_3655_13,0.38923768204781267,0.24172847057189603,0.3
L15-1615E-1206N_6460_3366_13,0.13527628760856603,0.07270972413528903,0.3
L15-1690E-1211N_6763_3346_13,0.158311372428131,0.08625211588362713,0.3
L15-1848E-0793N_7394_5018_13,0.023243069456860707,0.011919420828084983,0.3
L15-0387E-1276N_1549_3087_13,0.12283373131950731,0.06564454943758936,0.4
L15-0566E-1185N_2265_3451_13,0.04849470748966778,0.02652684245294153,0.4
L15-0632E-0892N_2528_4620_13,0.10222805494029469,0.054021907765808494,0.4
L15-1015E-1062N_4061_3941_13,0.11969741621248775,0.06383933738655248,0.4
L15-1200E-0847N_4802_4803_13,0.2817015544117243,0.1640181530280981,0.4
L15-1276E-1107N_5105_3761_13,0.15401004124725945,0.08370080601065762,0.4
L15-1438E-1134N_5753_3655_13,0.4011865857355817,0.2509804850916393,0.4
L15-1615E-1206N_6460_3366_13,0.2365420070773699,0.1361699563317703,0.4
L15-1690E-1211N_6763_3346_13,0.38581228279346197,0.24314834262084148,0.4
L15-1848E-0793N_7394_5018_13,0.050736960854545717,0.027017112976669196,0.4
L15-0387E-1276N_1549_3087_13,0.28234792060702857,0.16558472353719786,0.5
L15-0566E-1185N_2265_3451_13,0.13799618543867667,0.08381609957503566,0.5
L15-0632E-0892N_2528_4620_13,0.21212114401392942,0.11977159032080154,0.5
L15-1015E-1062N_4061_3941_13,0.2029949508400942,0.11365500211944152,0.5
L15-1200E-0847N_4802_4803_13,0.39446821812417493,0.2459054429343295,0.5
L15-1276E-1107N_5105_3761_13,0.2765759729976803,0.16099036153804222,0.5
L15-1438E-1134N_5753_3655_13,0.4399634124926053,0.2824654040746679,0.5
L15-1615E-1206N_6460_3366_13,0.4157003641417939,0.26560186666420466,0.5
L15-1690E-1211N_6763_3346_13,0.6595456421973819,0.4943023589835347,0.5
L15-1848E-0793N_7394_5018_13,0.13383717178936275,0.07979979664558169,0.5
L15-0387E-1276N_1549_3087_13,0.5118067269908578,0.344891893100487,0.6
L15-0566E-1185N_2265_3451_13,0.2622757261739781,0.17829219981310646,0.6
L15-0632E-0892N_2528_4620_13,0.43270163667499717,0.2813761688745984,0.6
L15-1015E-1062N_4061_3941_13,0.3733652045293881,0.23223200923266196,0.6
L15-1200E-0847N_4802_4803_13,0.5171727844366582,0.34934388934296146,0.6
L15-1276E-1107N_5105_3761_13,0.42310117515505996,0.2688754257445408,0.6
L15-1438E-1134N_5753_3655_13,0.5440767700905744,0.3749595785998778,0.6
L15-1615E-1206N_6460_3366_13,0.48374101157795835,0.32471024204397053,0.6
L15-1690E-1211N_6763_3346_13,0.50004555037147,0.33589589056778585,0.6
L15-1848E-0793N_7394_5018_13,0.2473057999265158,0.16685508506240332,0.6
L15-0387E-1276N_1549_3087_13,0.38395069163754153,0.2418162071119969,0.7
L15-0566E-1185N_2265_3451_13,0.2662635127911523,0.16622777480828851,0.7
L15-0632E-0892N_2528_4620_13,0.48373743070342423,0.3286395788631185,0.7
L15-1015E-1062N_4061_3941_13,0.5349086338318001,0.36664648906811703,0.7
L15-1200E-0847N_4802_4803_13,0.17952767361030042,0.09883299092737885,0.7
L15-1276E-1107N_5105_3761_13,0.4263462991760764,0.2715521469085602,0.7
L15-1438E-1134N_5753_3655_13,0.43104565512762166,0.2794051383577912,0.7
L15-1615E-1206N_6460_3366_13,0.3188280256309665,0.19526157105928124,0.7
L15-1690E-1211N_6763_3346_13,0.2091770867198188,0.1191705178499452,0.7
L15-1848E-0793N_7394_5018_13,0.2386312293653854,0.1549862643780822,0.7
L15-0387E-1276N_1549_3087_13,0.10249732156058124,0.05455092615793726,0.8
L15-0566E-1185N_2265_3451_13,0.2227510044864694,0.1322084166619699,0.8
L15-0632E-0892N_2528_4620_13,0.1266809150431302,0.07240466634491179,0.8
L15-1015E-1062N_4061_3941_13,0.3491167618166371,0.2183689341864988,0.8
L15-1200E-0847N_4802_4803_13,0.054245021472076736,0.027949869814556775,0.8
L15-1276E-1107N_5105_3761_13,0.1491627282902246,0.0821033492262685,0.8
L15-1438E-1134N_5753_3655_13,0.06941311271770224,0.037585619950106224,0.8
L15-1615E-1206N_6460_3366_13,0.1209430065959409,0.06560501048374955,0.8
L15-1690E-1211N_6763_3346_13,0.046697272390763274,0.024248338054004087,0.8
L15-1848E-0793N_7394_5018_13,0.1357362055125331,0.08305521309131665,0.8
L15-0387E-1276N_1549_3087_13,0.011748154013020885,0.005924844643486785,0.9
L15-0566E-1185N_2265_3451_13,0.10980522812750164,0.061076143863474354,0.9
L15-0632E-0892N_2528_4620_13,0.010782965344737352,0.005429258540924081,0.9
L15-1015E-1062N_4061_3941_13,0.02561156241750137,0.013099396917407398,0.9
L15-1200E-0847N_4802_4803_13,0.009724467176676452,0.004892354664594821,0.9
L15-1276E-1107N_5105_3761_13,0.015332814232623173,0.0077435465174390886,0.9
L15-1438E-1134N_5753_3655_13,0.0030515333104715863,0.001530868388209327,0.9
L15-1615E-1206N_6460_3366_13,0.022578361021393874,0.011492906061533368,0.9
L15-1690E-1211N_6763_3346_13,0.009225916543154388,0.004646696137576465,0.9
L15-1848E-0793N_7394_5018_13,0.036689996275272245,0.01978318066107898,0.9
L15-0387E-1276N_1549_3087_13,0.0,0.0,1.0
L15-0566E-1185N_2265_3451_13,0.0,0.0,1.0
L15-0632E-0892N_2528_4620_13,0.0,0.0,1.0
L15-1015E-1062N_4061_3941_13,0.0,0.0,1.0
L15-1200E-0847N_4802_4803_13,0.0,0.0,1.0
L15-1276E-1107N_5105_3761_13,0.0,0.0,1.0
L15-1438E-1134N_5753_3655_13,0.0,0.0,1.0
L15-1615E-1206N_6460_3366_13,0.0,0.0,1.0
L15-1690E-1211N_6763_3346_13,0.0,0.0,1.0
L15-1848E-0793N_7394_5018_13,,,1.0
