AOI,Dice,IOU,threshold
L15-0387E-1276N_1549_3087_13,0.05912087974839937,0.030465085916961763,0.0
L15-0566E-1185N_2265_3451_13,0.008478867447901087,0.0042724613902263,0.0
L15-0632E-0892N_2528_4620_13,0.04818749091634234,0.024688761466212954,0.0
L15-1015E-1062N_4061_3941_13,0.05527082002130957,0.028426756162299702,0.0
L15-1200E-0847N_4802_4803_13,0.18087302015045392,0.09943271736915564,0.0
L15-1276E-1107N_5105_3761_13,0.04906682142129181,0.025152781290772898,0.0
L15-1438E-1134N_5753_3655_13,0.3683387224534129,0.22688972103029237,0.0
L15-1615E-1206N_6460_3366_13,0.10691707217583449,0.05649468294361052,0.0
L15-1690E-1211N_6763_3346_13,0.12348348598316178,0.06591523532536708,0.0
L15-1848E-0793N_7394_5018_13,0.01587265744289208,0.008082581422867396,0.0
L15-0387E-1276N_1549_3087_13,0.5659777654907885,0.39498313197268736,0.1
L15-0566E-1185N_2265_3451_13,0.4596430768549214,0.3179793840277234,0.1
L15-0632E-0892N_2528_4620_13,0.5350363637015437,0.36569615151798796,0.1
L15-1015E-1062N_4061_3941_13,0.5435550673271439,0.37378850896667853,0.1
L15-1200E-0847N_4802_4803_13,0.49251291865161867,0.32725614739752124,0.1
L15-1276E-1107N_5105_3761_13,0.41601933411124054,0.26297160429114946,0.1
L15-1438E-1134N_5753_3655_13,0.5231606193944406,0.354589356199925,0.1
L15-1615E-1206N_6460_3366_13,0.5435278974156363,0.3739166748134484,0.1
L15-1690E-1211N_6763_3346_13,0.6727353912281355,0.5085309923272049,0.1
L15-1848E-0793N_7394_5018_13,0.30074033196696387,0.20721380743076748,0.1
L15-0387E-1276N_1549_3087_13,0.39387130639117895,0.24577463516680575,0.2
L15-0566E-1185N_2265_3451_13,0.43494056565337597,0.28933397463989263,0.2
L15-0632E-0892N_2528_4620_13,0.3982422104605135,0.2490298038087651,0.2
L15-1015E-1062N_4061_3941_13,0.3487085677939511,0.21225344550149092,0.2
L15-1200E-0847N_4802_4803_13,0.26366802428698605,0.1521668496947511,0.2
L15-1276E-1107N_5105_3761_13,0.21440292709286368,0.12038953603809885,0.2
L15-1438E-1134N_5753_3655_13,0.2950281527578103,0.1736235482500359,0.2
L15-1615E-1206N_6460_3366_13,0.37523162007518773,0.2322395905682639,0.2
L15-1690E-1211N_6763_3346_13,0.5809270305865121,0.4119008200522478,0.2
L15-1848E-0793N_7394_5018_13,0.20878654756713555,0.12936903422682067,0.2
L15-0387E-1276N_1549_3087_13,0.26027350123190723,0.14994498567852624,0.3
L15-0566E-1185N_2265_3451_13,0.34857699598906927,0.22033557163773812,0.3
L15-0632E-0892N_2528_4620_13,0.2365601718754714,0.1343776536478376,0.3
L15-1015E-1062N_4061_3941_13,0.16660763432159925,0.09142452679389247,0.3
L15-1200E-0847N_4802_4803_13,0.1933791927229298,0.10717637851874368,0.3
L15-1276E-1107N_5105_3761_13,0.10456720335617373,0.05528553065833619,0.3
L15-1438E-1134N_5753_3655_13,0.15940685526012074,0.08691416105738231,0.3
L15-1615E-1206N_6460_3366_13,0.2846233710306553,0.16744374037372,0.3
L15-1690E-1211N_6763_3346_13,0.5243413016191529,0.3576780976549516,0.3
L15-1848E-0793N_7394_5018_13,0.15060113097551203,0.08868986707450938,0.3
L15-0387E-1276N_1549_3087_13,0.19728759311068272,0.1096898720545405,0.4
L15-0566E-1185N_2265_3451_13,0.27602654083756273,0.16863990652930264,0.4
L15-0632E-0892N_2528_4620_13,0.15031641572931434,0.08140086827376133,0.4
