AOI,Dice,IOU,threshold
L15-0387E-1276N_1549_3087_13,0.059172985643818184,0.03049276964406489,0.0
L15-0566E-1185N_2265_3451_13,0.008483328465150897,0.0042747212699304725,0.0
L15-0632E-0892N_2528_4620_13,0.0482470281643182,0.024720027028678915,0.0
L15-1015E-1062N_4061_3941_13,0.05527345463838809,0.028428148840967657,0.0
L15-1200E-0847N_4802_4803_13,0.1809791599463617,0.09949683071323934,0.0
L15-1276E-1107N_5105_3761_13,0.04907192281019376,0.025155463264519305,0.0
L15-1438E-1134N_5753_3655_13,0.3683426484919032,0.2268926456529335,0.0
L15-1615E-1206N_6460_3366_13,0.10691740496804779,0.05649486879253275,0.0
L15-1690E-1211N_6763_3346_13,0.12348670756500103,0.0659170648482917,0.0
L15-1848E-0793N_7394_5018_13,0.015877734492890254,0.008085214508873223,0.0
L15-0387E-1276N_1549_3087_13,0.5183650913171847,0.3513007289840975,0.1
L15-0566E-1185N_2265_3451_13,0.27177442590629247,0.17391139181010923,0.1
L15-0632E-0892N_2528_4620_13,0.38477293795058126,0.24015343190917604,0.1
L15-1015E-1062N_4061_3941_13,0.4202085268819726,0.26713432455118047,0.1
L15-1200E-0847N_4802_4803_13,0.499108411301769,0.33280917079366695,0.1
L15-1276E-1107N_5105_3761_13,0.4479039377548246,0.2888347601186728,0.1
L15-1438E-1134N_5753_3655_13,0.5767984018638135,0.40546202848156027,0.1
L15-1615E-1206N_6460_3366_13,0.4773430206658004,0.3140823502249083,0.1
L15-1690E-1211N_6763_3346_13,0.6659255113030313,0.5006457510875563,0.1
L15-1848E-0793N_7394_5018_13,0.2858316746853248,0.1931832513688005,0.1
L15-0387E-1276N_1549_3087_13,0.5589439756994514,0.38876216902032756,0.2
L15-0566E-1185N_2265_3451_13,0.32499032507056425,0.2156984022752723,0.2
L15-0632E-0892N_2528_4620_13,0.4685382013178241,0.30840343672256515,0.2
L15-1015E-1062N_4061_3941_13,0.4970249657619118,0.33160118855264176,0.2
L15-1200E-0847N_4802_4803_13,0.5251334574683567,0.3563689465738668,0.2
L15-1276E-1107N_5105_3761_13,0.4658729393069027,0.3038205335423937,0.2
L15-1438E-1134N_5753_3655_13,0.5985657780544535,0.42738122715346855,0.2
L15-1615E-1206N_6460_3366_13,0.5409126627417183,0.3710800299146752,0.2
L15-1690E-1211N_6763_3346_13,0.6914406070176528,0.529351654320933,0.2
L15-1848E-0793N_7394_5018_13,0.3048959159747709,0.21059827041634196,0.2
L15-0387E-1276N_1549_3087_13,0.5696858358584506,0.3988113187780129,0.3
L15-0566E-1185N_2265_3451_13,0.36062389786231097,0.24399965846217542,0.3
L15-0632E-0892N_2528_4620_13,0.518479041001855,0.3522441119872404,0.3
L15-1015E-1062N_4061_3941_13,0.525862761167015,0.35735325302271204,0.3
L15-1200E-0847N_4802_4803_13,0.5213874279168921,0.3530195391318955,0.3
L15-1276E-1107N_5105_3761_13,0.4482697736512005,0.2890625156057285,0.3
L15-1438E-1134N_5753_3655_13,0.5880848233027742,0.4168576840693962,0.3
L15-1615E-1206N_6460_3366_13,0.5589310022502257,0.3882038427693845,0.3
L15-1690E-1211N_6763_3346_13,0.6862374353249009,0.5234308993902028,0.3
L15-1848E-0793N_7394_5018_13,0.3031696696750672,0.20902631438118496,0.3
L15-0387E-1276N_1549_3087_13,0.5631383582162109,0.39225286362294365,0.4
L15-0566E-1185N_2265_3451_13,0.38412167169689615,0.26239772445377185,0.4
L15-0632E-0892N_2528_4620_13,0.5427042243426086,0.37406249333856706,0.4
L15-1015E-1062N_4061_3941_13,0.5166586404926954,0.3488438579160848,0.4
L15-1200E-0847N_4802_4803_13,0.49193201891870464,0.32671417997452457,0.4
L15-1276E-1107N_5105_3761_13,0.40887524085018,0.2572081964783854,0.4
L15-1438E-1134N_5753_3655_13,0.5553394486510432,0.3848250379078234,0.4
L15-1615E-1206N_6460_3366_13,0.5478659004316497,0.3777515171741043,0.4
L15-1690E-1211N_6763_3346_13,0.6681480075316609,0.5031110793262404,0.4
L15-1848E-0793N_7394_5018_13,0.28930045267057686,0.1963703271311379,0.4
L15-0387E-1276N_1549_3087_13,0.54220231027233,0.3722037027529295,0.5
L15-0566E-1185N_2265_3451_13,0.3961252564153618,0.2711038949387945,0.5
L15-0632E-0892N_2528_4620_13,0.5403064188073791,0.37112778577048516,0.5
L15-1015E-1062N_4061_3941_13,0.47277052444558304,0.31021075260549974,0.5
L15-1200E-0847N_4802_4803_13,0.43935685259096724,0.28210526486154686,0.5
L15-1276E-1107N_5105_3761_13,0.353943104134823,0.2152810899657346,0.5
L15-1438E-1134N_5753_3655_13,0.5044207036132659,0.3377734760039719,0.5
L15-1615E-1206N_6460_3366_13,0.5162953538819349,0.34864456947169215,0.5
L15-1690E-1211N_6763_3346_13,0.6440854515081125,0.47687762706382353,0.5
L15-1848E-0793N_7394_5018_13,0.2674374825826918,0.177198879808568,0.5
L15-0387E-1276N_1549_3087_13,0.505681108534018,0.3386734478520555,0.6
L15-0566E-1185N_2265_3451_13,0.39521271566850996,0.2687695796997518,0.6
L15-0632E-0892N_2528_4620_13,0.5078695021185496,0.3409157351143874,0.6
L15-1015E-1062N_4061_3941_13,0.3976402168917089,0.24904170528462746,0.6
L15-1200E-0847N_4802_4803_13,0.3702884113474072,0.22773087717168994,0.6
L15-1276E-1107N_5105_3761_13,0.2869499330563807,0.16773289295203384,0.6
L15-1438E-1134N_5753_3655_13,0.43799367545120976,0.28096361069115505,0.6
L15-1615E-1206N_6460_3366_13,0.4701568281469432,0.30822180582391545,0.6
L15-1690E-1211N_6763_3346_13,0.6171181751072328,0.44848119175073525,0.6
L15-1848E-0793N_7394_5018_13,0.23915363890462354,0.15375286630959983,0.6
L15-0387E-1276N_1549_3087_13,0.44978217911954294,0.2904136529007862,0.7
L15-0566E-1185N_2265_3451_13,0.3806265456320571,0.2550739570281295,0.7
L15-0632E-0892N_2528_4620_13,0.4414824977778803,0.2836638793930079,0.7
L15-1015E-1062N_4061_3941_13,0.29683131033554516,0.1752147862662218,0.7
L15-1200E-0847N_4802_4803_13,0.29513189783062715,0.17346464416728982,0.7
L15-1276E-1107N_5105_3761_13,0.21096414644545064,0.11808710930434874,0.7
L15-1438E-1134N_5753_3655_13,0.3568869816118288,0.21775675781480414,0.7
L15-1615E-1206N_6460_3366_13,0.4138736282086857,0.26208748102222434,0.7
L15-1690E-1211N_6763_3346_13,0.5880007095455649,0.4188887207870282,0.7
